건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
15001,주유소,6924,2,965187.5486,1964755.123
15001,주유소,11367,2,969661.5328,1956228.006
15001,주유소,11368,2,969650.172,1956236.837
15001,주유소,11101,2,972157.6674,1958010.866
15001,주유소,11102,2,972150.5783,1958016.209
15001,주유소,11018,2,972598.1797,1958483.132
15001,주유소,11019,2,972606.1521,1958476.736
15001,주유소,10950,2,972914.6121,1958917.941
15001,주유소,10951,2,972895.9435,1958886.451
15001,주유소,10952,2,972889.3412,1958883.876
15001,주유소,10948,2,972883.2074,1958886.666
15001,주유소,10845,2,973983.6407,1959290.145
15001,주유소,10846,2,973975.897,1959302.438
15001,주유소,18886,2,975115.4964,1959546.719
15001,주유소,10803,2,975275.3564,1959658.634
15001,주유소,10734,2,976668.8521,1960962.849
15001,주유소,10671,2,976695.629,1961146.788
15001,주유소,10672,2,976703.9737,1961140.901
15001,주유소,11465,2,980748.7547,1961770.636
15001,주유소,11404,2,983459.34,1961300.635
15001,주유소,11604,2,984667.9782,1961441.184
15001,주유소,11602,2,984680.6348,1961431.67
15001,주유소,11603,2,984683.0698,1961422.168
15001,주유소,11640,2,985170.513,1961658.127
15001,주유소,11639,2,985219.3141,1961672.546
15001,주유소,11638,2,985235.0499,1961672.162
15001,주유소,11635,2,985228.3435,1961751.455
15001,주유소,11632,2,985197.7098,1961751.796
15001,주유소,11631,2,985204.802,1961739.475
15001,주유소,11634,2,985187.3087,1961739.124
15001,주유소,11633,2,985160.8665,1961744.09
15001,주유소,11507,2,988027.0722,1962633.587
15001,주유소,11500,2,988630.8837,1963086.415
15001,주유소,11503,2,988884.5968,1963617.247
15001,주유소,10451,2,969288.3484,1960040.201
15001,주유소,10446,2,969600.3364,1960414.19
15001,주유소,10443,2,970012.5546,1961897.722
15001,주유소,10442,2,970002.4493,1961918.172
15001,주유소,10444,2,970002.5192,1961938.572
15001,주유소,10445,2,970031.8469,1961915.478
15001,주유소,82167,2,969983.4028,1961962.869
15001,주유소,62567,2,969453.3972,1962673.9
15001,주유소,62568,2,969458.9229,1962680.805
15001,주유소,10308,2,969813.9041,1964643.367
15001,주유소,10274,2,970114.4201,1965166.69
15001,주유소,10228,2,971434.419,1967968.521
15001,주유소,10184,2,973110.6817,1970291.335
15001,주유소,10422,2,974360.8435,1972176.35
15001,주유소,10421,2,974371.6271,1972167.242
15001,주유소,10385,2,974787.2637,1972465.179
