충전소명,주소,수량(급속),수량(완속),lat,lon
A 행정복지센터,경기도 남양주시 ,1,1,37.661924,127.24024
B 행정복지센터,경기도 남양주시 ,1,1,37.734502,127.21144
C 읍사무소,경기도 남양주시 ,1,1,37.6357495,127.2163699
D 문화센터,경기도 남양주시 ,1,1,37.698822,127.204698
E 읍사무소,경기도 남양주시 ,1,1,37.684524,127.209751
F 대형마트,경기도 남양주시 ,1,1,37.65478551,127.2429094
G 대형마트,경기도 남양주시 ,1,1,37.60820421,127.1577527
H 대형마트,경기도 남양주시 ,1,1,37.64281146,127.1259688
I 문화센터,경기도 남양주시 ,1,1,37.535829,127.303381
J 주차장,경기도 남양주시 ,1,1,37.654579,127.177698
K 주차장,경기도 남양주시 ,1,1,37.726087,127.189755
L 공원,경기도 남양주시 ,1,1,37.60668,127.175196
M 주차장,경기도 남양주시 ,1,1,37.6254045,127.1894667
N 대형건물,경기도 남양주시 ,1,1,37.575728,127.22293
O 아파트,경기도 남양주시 ,1,1,37.578768,127.21392
P 아파트,경기도 남양주시 ,1,1,37.578705,127.21892
Q 아파트,경기도 남양주시 ,1,1,37.587432,127.22108
R 아파트,경기도 남양주시 ,1,1,37.5846975,127.2140262
S 아파트,경기도 남양주시 ,1,1,37.6502259,127.3094425
T 아파트,경기도 남양주시 ,1,1,37.661193,127.30455
U 아파트,경기도 남양주시 ,1,1,37.661669,127.12679
V 아파트,경기도 남양주시 ,1,1,37.649884,127.12015
W 아파트,경기도 남양주시 ,1,1,37.6460474,127.1222024
X 아파트,경기도 남양주시 ,1,1,37.658046,127.1211
Y 아파트,경기도 남양주시 ,1,1,37.702559,127.124725
Z 아파트,경기도 남양주시 ,1,1,37.648265,127.11364
ZZ 아파트,경기도 남양주시 ,1,1,37.663214,127.11791
AA 아파트,경기도 남양주시 ,1,1,37.644052,127.1181
DD 아파트,경기도 남양주시 ,1,1,37.670219,127.132563
RR 아파트,경기도 남양주시 ,1,1,37.647631,127.11738
FG 아파트,경기도 남양주시 ,1,1,37.660511,127.12474
PO 아파트,경기도 남양주시 ,1,1,37.613124,127.1588
